geography,subsector,elec_heating,elec_cooling,elec_water_heating,elec_ventilation,elec_cooking,elec_lighting,elec_refrigeration,elec_office_equip_pcs,elec_office_equip_nonpcs,elec_other,ng_heating,ng_cooling,ng_water_heating,ng_cooking,ng_other,fuel_oil_heating,fuel_oil_cooling,fuel_oil_water_heating,fuel_oil_other
pacific,merc_service,-0.00965457,0.01591755,-0.002153705,0.001465933,0.001390083,-0.012123684,0.002903637,-0.000672268,0.02451045,0.026583154,0.000412905,0,0.001970559,0.026831716,0.006463985,0,0,0,0.006003518
pacific,office_large,-0.013930149,0.00582742,-0.006308898,-0.011399687,0.001078274,-0.01606476,0.004048254,-0.000243424,0.024933807,0.009113997,-0.006973851,-0.028313434,0.003750804,0.065431235,0,-0.014871638,0,0,0.006290663
pacific,office_small,-0.009301015,0.004826599,-0.002700736,-0.009108274,0.00265663,-0.012966541,0.004312908,0.002024055,0.02726536,0.006009751,-0.002338762,-0.016928496,0.004670938,0.007643326,0.009245857,-0.010128629,0,0,0.008731755
pacific,other,-0.00780617,0.00361263,-0.001523531,-0.007314931,0,-0.013165244,0.004369814,0.003750047,0.029035822,0.013055926,-0.004252441,0,0.007466968,0,0.011041698,0,0,0,0.012751399
pacific,warehouse,-0.004192134,0.011895882,-0.00036121,-0.004845987,0.003443443,-0.007582792,0.010088902,0.005847843,0.031234853,0.012946178,0.002323348,0,0.016720379,0.018624214,0.026234878,0,0,0,0.012751399
south_atlantic,assembly,-0.016683416,0.005163754,-0.010597403,-0.013278303,-0.007572133,-0.023992109,0.003833626,-0.000192983,0.024987783,0.004283506,-0.005125826,-0.024213386,0.004328863,0.011729075,0.102534286,0,0,0,0.007069867
south_atlantic,education,-0.015325981,0.002613669,-0.012027802,-0.007633636,-0.008566558,-0.011272218,0.005036987,0.004088545,0.029377737,0.005039691,0.000116126,-0.024175127,0.007065054,0.014733369,0.003255758,0,0,0,0.029047982
south_atlantic,food_sales,-0.012010948,0.006789993,-0.005065842,-0.011233366,-0.00141829,-0.013558701,0.007382637,0.00239203,0.027672927,0.00697427,-0.000183053,-0.019266042,0.00420909,0.013175543,0.040911937,0,0,0,0
south_atlantic,food_service,-0.013838219,0.009778651,-0.011557921,-0.011924014,-0.002427469,-0.014322801,0.003113838,0.002454011,0.027665397,0.006286197,0.003060616,-0.024277906,0.004815333,0.011003531,0.124124423,0,0,0,0.009588858
south_atlantic,health_care,-0.014025252,0.005986964,-0.011145675,-0.004990805,-0.002017039,-0.009994321,0.007516772,0.005084264,0.030403438,0.003280884,-0.0007001,0.016485922,0.010959335,0.017133701,0.006675644,0,0,0,0.012366752
south_atlantic,lodging,-0.01371239,0.007331731,-0.010741437,-0.00864449,-0.002873198,-0.017385394,0.00632662,0.003707876,0.028943633,0.009404752,-0.003574047,0,0.008585997,0.021988459,0.017964714,0,0,0,0.010879893
south_atlantic,merc_service,-0.014267835,0.017438318,-0.003031762,0.001883852,0.001339021,-0.012118212,0.005192038,0.002084636,0.027320194,0.026093795,-0.01039807,0.014138204,0.005585218,0.023625206,-0.003031762,0,0,0,0.009097447
south_atlantic,office_large,-0.013725554,0.007591448,-0.005971705,-0.010971844,0.001226399,-0.015952314,0.006204761,0.002347453,0.027589712,0.011513599,-0.00889459,-0.021387989,0.005053897,0.011454041,0.109476891,0,0,0,0.009739464
south_atlantic,office_small,-0.010288157,0.005141432,-0.003589459,-0.010286869,0.00159789,-0.015927326,0.004503669,0.002837348,0.028102176,0.006681934,-0.006991907,-0.003126145,0.004989314,0.008354223,0.021042766,0,0,0,0.009739464
south_atlantic,other,-0.013582607,0.002599717,-0.00397145,-0.009068656,0,-0.015581144,0.003601375,0.003837697,0.029122974,0.014484306,-0.008841815,0,0.007554651,0,0.062759643,0,0,0,0.010944037
south_atlantic,warehouse,-0.009968695,0.00977088,-0.003259647,-0.007509352,0.001051071,-0.011049867,0.008816841,0.005036805,0.030333473,0.011638462,-0.003721698,0,0.010254724,0.04334086,0.025555661,0,0,0,0.012265141
west_north_central,assembly,-0.023048661,0.012551084,-0.00807693,-0.009534787,-0.004554989,-0.019618421,0.007080313,0.002775409,0.028058352,0.00670311,-0.008065267,-0.017335966,0.00609097,0.015859648,0,0,0,0,0.012751399
west_north_central,education,-0.01887961,0.00569719,-0.010762795,-0.006374447,-0.00741476,-0.009426965,0.005416692,0.004231389,0.029517027,0.004635924,0.002379537,-0.019159062,0.006272236,0.019735169,0.001358149,0,0,0,0.011557679
west_north_central,food_sales,-0.009920235,0.009697919,-0.003673954,-0.009413125,0.000491612,-0.01062785,0.008496823,0.003436753,0.02857612,0.007274985,0.001792305,-0.021427938,0.003558169,0.040450027,0.009849994,0,0,0,0
west_north_central,food_service,-0.011474583,0.012736641,-0.009938832,-0.0096381,-0.000606631,-0.011792897,0.004388977,0.003338635,0.028632451,0.007090343,0.004572773,-0.023872615,0.004137912,0.015640247,0.009759118,0,0,0,0
