id,name,state
G13055,Chattooga County,GA
G13057,Cherokee County,GA
G13059,Clarke County,GA
G13061,Clay County,GA
G13063,Clayton County,GA
G13065,Clinch County,GA
G13067,Cobb County,GA
G13069,Coffee County,GA
G13071,Colquitt County,GA
G13073,Columbia County,GA
G13075,Cook County,GA
G13077,Coweta County,GA
G13079,Crawford County,GA
G13081,Crisp County,GA
G13083,Dade County,GA
G13085,Dawson County,GA
G13087,Decatur County,GA
G13089,DeKalb County,GA
G13091,Dodge County,GA
G13093,Dooly County,GA
G13095,Dougherty County,GA
G13097,Douglas County,GA
G13099,Early County,GA
G13101,Echols County,GA
G13103,Effingham County,GA
G13105,Elbert County,GA
G13107,Emanuel County,GA
G13109,Evans County,GA
G13111,Fannin County,GA
G13113,Fayette County,GA
G13115,Floyd County,GA
G13117,Forsyth County,GA
G13119,Franklin County,GA
G13121,Fulton County,GA
G13123,Gilmer County,GA
G13125,Glascock County,GA
G13127,Glynn County,GA
G13129,Gordon County,GA
G13131,Grady County,GA
G13133,Greene County,GA
G13135,Gwinnett County,GA
G13137,Habersham County,GA
G13139,Hall County,GA
G13141,Hancock County,GA
G13143,Haralson County,GA
G13145,Harris County,GA
G13147,Hart County,GA
G13149,Heard County,GA
G13151,Henry County,GA
G13153,Houston County,GA
G13155,Irwin County,GA
G13157,Jackson County,GA
G13159,Jasper County,GA
G13161,Jeff Davis County,GA
G13163,Jefferson County,GA
G13165,Jenkins County,GA
G13167,Johnson County,GA
G13169,Jones County,GA
G13171,Lamar County,GA
G13173,Lanier County,GA
G13175,Laurens County,GA
G13177,Lee County,GA
G13179,Liberty County,GA
G13181,Lincoln County,GA
G13183,Long County,GA
G13185,Lowndes County,GA
G13187,Lumpkin County,GA
G13189,McDuffie County,GA
G13191,McIntosh County,GA
G13193,Macon County,GA
G13195,Madison County,GA
G13197,Marion County,GA
G13199,Meriwether County,GA
G13201,Miller County,GA
G13205,Mitchell County,GA
G13207,Monroe County,GA
G13209,Montgomery County,GA
G13211,Morgan County,GA
G13213,Murray County,GA
G13215,Muscogee County,GA
G13217,Newton County,GA
G13219,Oconee County,GA
G13221,Oglethorpe County,GA
G13223,Paulding County,GA
G13225,Peach County,GA
G13227,Pickens County,GA
G13229,Pierce County,GA
G13231,Pike County,GA
G13233,Polk County,GA
G13235,Pulaski County,GA
G13237,Putnam County,GA
G13239,Quitman County,GA
G13241,Rabun County,GA
G13243,Randolph County,GA
G13245,Richmond County,GA
G13247,Rockdale County,GA
G13249,Schley County,GA
G13251,Screven County,GA
G13253,Seminole County,GA
G13255,Spalding County,GA
G13257,Stephens County,GA
G13259,Stewart County,GA
G13261,Sumter County,GA
G13263,Talbot County,GA
G13265,Taliaferro County,GA
G13267,Tattnall County,GA
G13269,Taylor County,GA
G13271,Telfair County,GA
G13273,Terrell County,GA
G13275,Thomas County,GA
G13277,Tift County,GA
G13279,Toombs County,GA
G13281,Towns County,GA
G13283,Treutlen County,GA
G13285,Troup County,GA
G13287,Turner County,GA
G13289,Twiggs County,GA
G13291,Union County,GA
G13293,Upson County,GA
G13295,Walker County,GA
G13297,Walton County,GA
G13299,Ware County,GA
G13301,Warren County,GA
G13303,Washington County,GA
G13305,Wayne County,GA
G13307,Webster County,GA
G13309,Wheeler County,GA
G13311,White County,GA
G13313,Whitfield County,GA
G13315,Wilcox County,GA
G13317,Wilkes County,GA
G13319,Wilkinson County,GA
G13321,Worth County,GA
G16001,Ada County,ID
G16003,Adams County,ID
G16005,Bannock County,ID
G16007,Bear Lake County,ID
G16009,Benewah County,ID
G16011,Bingham County,ID
G16013,Blaine County,ID
G16015,Boise County,ID
G16017,Bonner County,ID
G16019,Bonneville County,ID
G16021,Boundary County,ID
G16023,Butte County,ID
G16025,Camas County,ID
G16027,Canyon County,ID
G16029,Caribou County,ID
G16031,Cassia County,ID
G16033,Clark County,ID
G16035,Clearwater County,ID
G16037,Custer County,ID
G16039,Elmore County,ID
G16041,Franklin County,ID
G16043,Fremont County,ID
G16045,Gem County,ID
G16047,Gooding County,ID
G16049,Idaho County,ID
G16051,Jefferson County,ID
G16053,Jerome County,ID
G16055,Kootenai County,ID
G16057,Latah County,ID
G16059,Lemhi County,ID
G16061,Lewis County,ID
G16063,Lincoln County,ID
G16065,Madison County,ID
G16067,Minidoka County,ID
G16069,Nez Perce County,ID
G16071,Oneida County,ID
G16073,Owyhee County,ID
G16075,Payette County,ID
G16077,Power County,ID
G16079,Shoshone County,ID
G16081,Teton County,ID
G16083,Twin Falls County,ID
G16085,Valley County,ID
G16087,Washington County,ID
G17001,Adams County,IL
G17003,Alexander County,IL
G17005,Bond County,IL
G17007,Boone County,IL
G17009,Brown County,IL
G17011,Bureau County,IL
G17013,Calhoun County,IL
G17015,Carroll County,IL
G17017,Cass County,IL
G17019,Champaign County,IL
G17021,Christian County,IL
G17023,Clark County,IL
G17025,Clay County,IL
G17027,Clinton County,IL
G17029,Coles County,IL
G17031,Cook County,IL
G17033,Crawford County,IL
G17035,Cumberland County,IL
G17037,DeKalb County,IL
G17039,De Witt County,IL
G17041,Douglas County,IL
G17043,DuPage County,IL
G17045,Edgar County,IL
G17047,Edwards County,IL
G17049,Effingham County,IL
G17051,Fayette County,IL
G17053,Ford County,IL
G17055,Franklin County,IL
G17057,Fulton County,IL
G17059,Gallatin County,IL
G17061,Greene County,IL
G17063,Grundy County,IL
G17065,Hamilton County,IL
G17067,Hancock County,IL
G17069,Hardin County,IL
G17071,Henderson County,IL
G17073,Henry County,IL
G17075,Iroquois County,IL
G17077,Jackson County,IL
G17079,Jasper County,IL
G17081,Jefferson County,IL
G17083,Jersey County,IL
G17085,Jo Daviess County,IL
G17087,Johnson County,IL
G17089,Kane County,IL
G17091,Kankakee County,IL
G17093,Kendall County,IL
G17095,Knox County,IL
G17097,Lake County,IL
G17099,LaSalle County,IL
G17101,Lawrence County,IL
G17103,Lee County,IL
G17105,Livingston County,IL
G17107,Logan County,IL
G17109,McDonough County,IL
G17111,McHenry County,IL
G17113,McLean County,IL
G17115,Macon County,IL
G17117,Macoupin County,IL
G17119,Madison County,IL
G17121,Marion County,IL
G17123,Marshall County,IL
G17125,Mason County,IL
G17127,Massac County,IL
G17129,Menard County,IL
G17131,Mercer County,IL
G17133,Monroe County,IL
G17135,Montgomery County,IL
G17137,Morgan County,IL
G17139,Moultrie County,IL
G17141,Ogle County,IL
G17143,Peoria County,IL
G17145,Perry County,IL
G17147,Piatt County,IL
G17149,Pike County,IL
G17151,Pope County,IL
G17153,Pulaski County,IL
G17155,Putnam County,IL
G17157,Randolph County,IL
G17159,Richland County,IL
G17161,Rock Island County,IL
G17163,St. Clair County,IL
G17165,Saline County,IL
G17167,Sangamon County,IL
G17169,Schuyler County,IL
G17171,Scott County,IL
G17173,Shelby County,IL
G17175,Stark County,IL
G17177,Stephenson County,IL
G17179,Tazewell County,IL
G17181,Union County,IL
G17183,Vermilion County,IL
G17185,Wabash County,IL
G17187,Warren County,IL
G17189,Washington County,IL
G17191,Wayne County,IL
G17193,White County,IL
G17195,Whiteside County,IL
G17197,Will County,IL
G17199,Williamson County,IL
G17201,Winnebago County,IL
G17203,Woodford County,IL
G18001,Adams County,IN
G18003,Allen County,IN
G18005,Bartholomew County,IN
G18007,Benton County,IN
G18009,Blackford County,IN
G18011,Boone County,IN
G18013,Brown County,IN
G18015,Carroll County,IN
G18017,Cass County,IN
G18019,Clark County,IN
G18021,Clay County,IN
G18023,Clinton County,IN
G18025,Crawford County,IN
G18027,Daviess County,IN
G18029,Dearborn County,IN
G18031,Decatur County,IN
G18033,DeKalb County,IN
G18035,Delaware County,IN
G18037,Dubois County,IN
G18039,Elkhart County,IN
G18041,Fayette County,IN
G18043,Floyd County,IN
G18045,Fountain County,IN
G18047,Franklin County,IN
G18049,Fulton County,IN
G18051,Gibson County,IN
G18053,Grant County,IN
G18055,Greene County,IN
G18057,Hamilton County,IN
G18059,Hancock County,IN
G18061,Harrison County,IN
G18063,Hendricks County,IN
G18065,Henry County,IN
G18067,Howard County,IN
G18069,Huntington County,IN
G18071,Jackson County,IN
G18073,Jasper County,IN
G18075,Jay County,IN
G18077,Jefferson County,IN
G18079,Jennings County,IN
G18081,Johnson County,IN
G18083,Knox County,IN
G18085,Kosciusko County,IN
G18087,LaGrange County,IN
G18089,Lake County,IN
